id_bairro,nome,zona,lat,lon,populacao,area_km2
1,Pinheiros,Oeste,-23.5636,-46.677,68000,3.1
2,Itaim Bibi,Sul,-23.5857,-46.6772,89000,3.7
3,Vila Mariana,Sul,-23.5896,-46.6395,110000,6.8
4,Moema,Sul,-23.6016,-46.6634,73000,4.4
5,Jardins,Oeste,-23.563,-46.6543,42000,2.8
6,Consolação,Centro,-23.5505,-46.6561,41000,2.0
7,Santa Cecília,Centro,-23.544,-46.6523,38000,1.5
8,Bela Vista,Centro,-23.5602,-46.6451,61000,2.9
9,Liberdade,Centro,-23.5622,-46.6336,80000,2.7
10,Morumbi,Sul,-23.6178,-46.7194,45000,14.0
11,Santo Amaro,Sul,-23.6545,-46.7101,82000,5.6
12,Campo Belo,Sul,-23.6143,-46.6683,55000,3.4
13,Brooklin,Sul,-23.6165,-46.6942,48000,2.9
14,Vila Olímpia,Sul,-23.5975,-46.6862,18000,1.9
15,Perdizes,Oeste,-23.5374,-46.6722,80000,3.6
16,Lapa,Oeste,-23.5261,-46.7064,70000,3.1
17,Barra Funda,Oeste,-23.5252,-46.6601,18000,1.8
18,Tatuapé,Leste,-23.5396,-46.573,85000,3.8
19,Mooca,Leste,-23.5572,-46.5969,77000,4.8
20,Penha,Leste,-23.5228,-46.5326,112000,5.4
21,Santana,Norte,-23.5017,-46.627,98000,3.5
22,Tucuruvi,Norte,-23.4791,-46.6116,78000,5.9
23,Pirituba,Norte,-23.4754,-46.728,97000,12.1
24,Casa Verde,Norte,-23.5074,-46.6621,88000,4.2
25,Água Rasa,Leste,-23.5576,-46.5619,66000,2.9
26,Vila Prudente,Leste,-23.5885,-46.5786,95000,7.1
27,Jabaquara,Sul,-23.6527,-46.6476,90000,7.6
28,Ipiranga,Sul,-23.5867,-46.6003,104000,6.7
29,Sacomã,Sul,-23.6102,-46.5984,121000,6.9
30,Sé,Centro,-23.5504,-46.6339,23000,1.3
