bairro,zona,lat,lon,total_corridas,co2_total_kg,co2_total_ton,co2_medio_kg,distancia_media_km
Pinheiros,Oeste,-23.5636,-46.677,450,640.7,0.6407,1.4238,9.19
Itaim Bibi,Sul,-23.5857,-46.6772,488,694.75,0.6947,1.4237,9.18
Vila Mariana,Sul,-23.5896,-46.6395,414,578.84,0.5788,1.3982,9.02
Moema,Sul,-23.6016,-46.6634,419,599.61,0.5996,1.431,9.23
Jardins,Oeste,-23.563,-46.6543,455,645.11,0.6451,1.4178,9.15
Consolação,Centro,-23.5505,-46.6561,342,540.98,0.541,1.5818,10.21
Santa Cecília,Centro,-23.544,-46.6523,339,502.15,0.5021,1.4813,9.56
Bela Vista,Centro,-23.5602,-46.6451,345,479.72,0.4797,1.3905,8.97
Liberdade,Centro,-23.5622,-46.6336,280,405.9,0.4059,1.4497,9.35
Morumbi,Sul,-23.6178,-46.7194,534,778.57,0.7786,1.458,9.41
Santo Amaro,Sul,-23.6545,-46.7101,344,496.01,0.496,1.4419,9.3
Campo Belo,Sul,-23.6143,-46.6683,387,586.47,0.5865,1.5154,9.78
Brooklin,Sul,-23.6165,-46.6942,482,717.61,0.7176,1.4888,9.61
Vila Olímpia,Sul,-23.5975,-46.6862,604,881.5,0.8815,1.4594,9.42
Perdizes,Oeste,-23.5374,-46.6722,274,364.88,0.3649,1.3317,8.59
Lapa,Oeste,-23.5261,-46.7064,298,443.28,0.4433,1.4875,9.6
Barra Funda,Oeste,-23.5252,-46.6601,403,599.66,0.5997,1.488,9.6
Tatuapé,Leste,-23.5396,-46.573,305,455.37,0.4554,1.493,9.63
Mooca,Leste,-23.5572,-46.5969,277,411.83,0.4118,1.4868,9.59
Penha,Leste,-23.5228,-46.5326,230,340.84,0.3408,1.4819,9.56
Santana,Norte,-23.5017,-46.627,292,427.9,0.4279,1.4654,9.45
Tucuruvi,Norte,-23.4791,-46.6116,198,279.48,0.2795,1.4115,9.11
Pirituba,Norte,-23.4754,-46.728,213,313.45,0.3135,1.4716,9.49
Casa Verde,Norte,-23.5074,-46.6621,241,370.72,0.3707,1.5383,9.92
Água Rasa,Leste,-23.5576,-46.5619,217,319.36,0.3194,1.4717,9.5
Vila Prudente,Leste,-23.5885,-46.5786,222,331.11,0.3311,1.4915,9.62
Jabaquara,Sul,-23.6527,-46.6476,213,311.31,0.3113,1.4615,9.43
Ipiranga,Sul,-23.5867,-46.6003,257,370.36,0.3704,1.4411,9.3
Sacomã,Sul,-23.6102,-46.5984,206,318.66,0.3187,1.5469,9.98
Sé,Centro,-23.5504,-46.6339,271,403.72,0.4037,1.4897,9.61
